Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_TRACT,NUM_FB_14,PCT_FB_14
36029000110,14000US36029000110,"Census Tract 1.10, Erie County, New York","Census Tract 1.10, Erie County, New York",110,101,3.54
36029000200,14000US36029000200,"Census Tract 2, Erie County, New York","Census Tract 2, Erie County, New York",200,62,1.49
36029000500,14000US36029000500,"Census Tract 5, Erie County, New York","Census Tract 5, Erie County, New York",500,120,6.07
36029000600,14000US36029000600,"Census Tract 6, Erie County, New York","Census Tract 6, Erie County, New York",600,166,3.46
36029000700,14000US36029000700,"Census Tract 7, Erie County, New York","Census Tract 7, Erie County, New York",700,121,3.18
36029000800,14000US36029000800,"Census Tract 8, Erie County, New York","Census Tract 8, Erie County, New York",800,145,3.06
36029000900,14000US36029000900,"Census Tract 9, Erie County, New York","Census Tract 9, Erie County, New York",900,141,5.64
36029001000,14000US36029001000,"Census Tract 10, Erie County, New York","Census Tract 10, Erie County, New York",1000,81,1.64
36029001100,14000US36029001100,"Census Tract 11, Erie County, New York","Census Tract 11, Erie County, New York",1100,115,3.8
36029001402,14000US36029001402,"Census Tract 14.02, Erie County, New York","Census Tract 14.02, Erie County, New York",1402,46,1.41
36029001500,14000US36029001500,"Census Tract 15, Erie County, New York","Census Tract 15, Erie County, New York",1500,43,2.82
36029001600,14000US36029001600,"Census Tract 16, Erie County, New York","Census Tract 16, Erie County, New York",1600,221,10.77
36029001700,14000US36029001700,"Census Tract 17, Erie County, New York","Census Tract 17, Erie County, New York",1700,106,5.72
36029001900,14000US36029001900,"Census Tract 19, Erie County, New York","Census Tract 19, Erie County, New York",1900,122,3.73
36029002300,14000US36029002300,"Census Tract 23, Erie County, New York","Census Tract 23, Erie County, New York",2300,102,3.16
36029002400,14000US36029002400,"Census Tract 24, Erie County, New York","Census Tract 24, Erie County, New York",2400,150,3.44
36029002502,14000US36029002502,"Census Tract 25.02, Erie County, New York","Census Tract 25.02, Erie County, New York",2502,95,4.75
36029002702,14000US36029002702,"Census Tract 27.02, Erie County, New York","Census Tract 27.02, Erie County, New York",2702,1094,35.59
36029002800,14000US36029002800,"Census Tract 28, Erie County, New York","Census Tract 28, Erie County, New York",2800,121,5.36
36029002900,14000US36029002900,"Census Tract 29, Erie County, New York","Census Tract 29, Erie County, New York",2900,0,0
36029003000,14000US36029003000,"Census Tract 30, Erie County, New York","Census Tract 30, Erie County, New York",3000,54,2.18
36029003100,14000US36029003100,"Census Tract 31, Erie County, New York","Census Tract 31, Erie County, New York",3100,75,4.34
36029003301,14000US36029003301,"Census Tract 33.01, Erie County, New York","Census Tract 33.01, Erie County, New York",3301,79,2.07
36029003302,14000US36029003302,"Census Tract 33.02, Erie County, New York","Census Tract 33.02, Erie County, New York",3302,115,3.46
36029003400,14000US36029003400,"Census Tract 34, Erie County, New York","Census Tract 34, Erie County, New York",3400,23,1.04
36029003500,14000US36029003500,"Census Tract 35, Erie County, New York","Census Tract 35, Erie County, New York",3500,9,0.33
36029003600,14000US36029003600,"Census Tract 36, Erie County, New York","Census Tract 36, Erie County, New York",3600,102,3.96
36029003700,14000US36029003700,"Census Tract 37, Erie County, New York","Census Tract 37, Erie County, New York",3700,174,4.28
36029003800,14000US36029003800,"Census Tract 38, Erie County, New York","Census Tract 38, Erie County, New York",3800,8,0.25
36029003901,14000US36029003901,"Census Tract 39.01, Erie County, New York","Census Tract 39.01, Erie County, New York",3901,14,1.48
36029004001,14000US36029004001,"Census Tract 40.01, Erie County, New York","Census Tract 40.01, Erie County, New York",4001,81,1.92
36029004100,14000US36029004100,"Census Tract 41, Erie County, New York","Census Tract 41, Erie County, New York",4100,160,3.57
36029004200,14000US36029004200,"Census Tract 42, Erie County, New York","Census Tract 42, Erie County, New York",4200,110,2.96
36029004300,14000US36029004300,"Census Tract 43, Erie County, New York","Census Tract 43, Erie County, New York",4300,270,4.58
36029004401,14000US36029004401,"Census Tract 44.01, Erie County, New York","Census Tract 44.01, Erie County, New York",4401,123,2.93
36029004402,14000US36029004402,"Census Tract 44.02, Erie County, New York","Census Tract 44.02, Erie County, New York",4402,61,2.24
36029004500,14000US36029004500,"Census Tract 45, Erie County, New York","Census Tract 45, Erie County, New York",4500,322,5.75
36029004601,14000US36029004601,"Census Tract 46.01, Erie County, New York","Census Tract 46.01, Erie County, New York",4601,845,24.39
36029004602,14000US36029004602,"Census Tract 46.02, Erie County, New York","Census Tract 46.02, Erie County, New York",4602,342,26.27
36029004700,14000US36029004700,"Census Tract 47, Erie County, New York","Census Tract 47, Erie County, New York",4700,672,10.97
36029004800,14000US36029004800,"Census Tract 48, Erie County, New York","Census Tract 48, Erie County, New York",4800,149,3.51
36029004900,14000US36029004900,"Census Tract 49, Erie County, New York","Census Tract 49, Erie County, New York",4900,423,7.56
36029005000,14000US36029005000,"Census Tract 50, Erie County, New York","Census Tract 50, Erie County, New York",5000,305,13.54
36029005100,14000US36029005100,"Census Tract 51, Erie County, New York","Census Tract 51, Erie County, New York",5100,429,9.18
36029005201,14000US36029005201,"Census Tract 52.01, Erie County, New York","Census Tract 52.01, Erie County, New York",5201,103,3.72
36029005202,14000US36029005202,"Census Tract 52.02, Erie County, New York","Census Tract 52.02, Erie County, New York",5202,366,14.18
36029005300,14000US36029005300,"Census Tract 53, Erie County, New York","Census Tract 53, Erie County, New York",5300,193,12.24
36029005400,14000US36029005400,"Census Tract 54, Erie County, New York","Census Tract 54, Erie County, New York",5400,351,8.57
36029005500,14000US36029005500,"Census Tract 55, Erie County, New York","Census Tract 55, Erie County, New York",5500,807,20.59
36029005600,14000US36029005600,"Census Tract 56, Erie County, New York","Census Tract 56, Erie County, New York",5600,687,14.94
36029005700,14000US36029005700,"Census Tract 57, Erie County, New York","Census Tract 57, Erie County, New York",5700,96,3.97
36029005801,14000US36029005801,"Census Tract 58.01, Erie County, New York","Census Tract 58.01, Erie County, New York",5801,446,12.67
36029005802,14000US36029005802,"Census Tract 58.02, Erie County, New York","Census Tract 58.02, Erie County, New York",5802,912,20.03
36029005900,14000US36029005900,"Census Tract 59, Erie County, New York","Census Tract 59, Erie County, New York",5900,473,12.01
36029006100,14000US36029006100,"Census Tract 61, Erie County, New York","Census Tract 61, Erie County, New York",6100,1421,29.63
36029006201,14000US36029006201,"Census Tract 62.01, Erie County, New York","Census Tract 62.01, Erie County, New York",6201,203,10.8
36029006301,14000US36029006301,"Census Tract 63.01, Erie County, New York","Census Tract 63.01, Erie County, New York",6301,181,3.76
